0.0;1.0
0.1;1.2
0.2;1.4
0.3;1.6
0.4;1.8
0.5;2.0
0.6;2.2
0.7;2.4
0.8;2.6
0.9;2.8
1.0;3.0
1.1;3.2
1.2;3.4
1.3;3.6
1.4;3.8
1.5;4.0
1.6;4.2
1.7;4.4
1.8;4.6
1.9;4.8
2.0;5.0
2.1;5.2
2.2;5.4
2.3;5.6
2.4;5.8
2.5;6.0
2.6;6.2
2.7;6.4
2.8;6.6
2.9;6.8
3.0;7.0
3.1;7.2
3.2;7.4
3.3;7.6
3.4;7.8
3.5;8.0
3.6;8.2
3.7;8.4
3.8;8.6
3.9;8.8
4.0;9.0
4.1;9.2
4.2;9.4
4.3;9.6
4.4;9.8
4.5;10.0
4.6;10.2
4.7;10.4
4.8;10.6
4.9;10.8
5.0;11.0
5.1;11.2
5.2;11.4
5.3;11.6
5.4;11.8
5.5;12.0
5.6;12.2
5.7;12.4
5.8;12.6
5.9;12.8
6.0;13.0
6.1;13.2
6.2;13.4
6.3;13.6
6.4;13.8
6.5;14.0
6.6;14.2
6.7;14.4
6.8;14.6
6.9;14.8
7.0;15.0
7.1;15.2
7.2;15.4
7.3;15.6
7.4;15.8
7.5;16.0
7.6;16.2
7.7;16.4
7.8;16.6
7.9;16.8
8.0;17.0
8.1;17.2
8.2;17.4
8.3;17.6
8.4;17.8
8.5;18.0
8.6;18.2
8.7;18.4
8.8;18.6
8.9;18.8
9.0;19.0
9.1;19.2
9.2;19.4
9.3;19.6
9.4;19.8
9.5;20.0
9.6;20.2
9.7;20.4
9.8;20.6
9.9;20.8
10.0;21.0
